province_station,station_id
강원도 강릉소방서,1
강원도 고성소방서,2
강원도 동해소방서,3
강원도 삼척소방서,4
강원도 속초소방서,5
강원도 양양소방서,6
강원도 영월소방서,7
강원도 원주소방서,8
강원도 인제소방서,9
강원도 정선소방서,10
강원도 철원소방서,11
강원도 춘천소방서,12
강원도 태백소방서,13
강원도 평창소방서,14
강원도 홍천소방서,15
강원도 횡성소방서,16
경기도 가평소방서,17
경기도 고양소방서,18
경기도 과천소방서,19
경기도 광명소방서,20
경기도 광주소방서,21
경기도 구리소방서,22
경기도 군포소방서,23
경기도 김포소방서,24
경기도 남양주소방서,25
경기도 동두천소방서,26
경기도 부천소방서,27
경기도 분당소방서,28
경기도 성남소방서,29
경기도 송탄소방서,30
경기도 수원소방서,31
경기도 시흥소방서,32
경기도 안산소방서,33
경기도 안성소방서,34
경기도 안양소방서,35
경기도 양주소방서,36
경기도 양평소방서,37
경기도 여주소방서,38
경기도 연천소방서,39
경기도 오산소방서,40
경기도 용인소방서,41
경기도 의왕소방서,42
경기도 의정부소방서,43
경기도 이천소방서,44
경기도 일산소방서,45
경기도 파주소방서,46
경기도 평택소방서,47
경기도 포천소방서,48
경기도 하남소방서,49
경기도 화성소방서,50
경상남도 거제소방서,51
경상남도 거창소방서,52
경상남도 고성소방서,53
경상남도 김해동부소방서,54
경상남도 김해서부소방서,55
경상남도 남해소방서,56
경상남도 마산소방서,57
경상남도 밀양소방서,58
경상남도 사천소방서,59
경상남도 산청소방서,60
경상남도 양산소방서,61
경상남도 의령소방서,62
경상남도 진주소방서,63
경상남도 창녕소방서,64
경상남도 창원소방본부,65
경상남도 창원소방서,66
경상남도 통영소방서,67
경상남도 하동소방서,68
경상남도 함안소방서,69
경상남도 함양소방서,70
경상남도 합천소방서,71
경상북도 경산소방서,72
경상북도 경주소방서,73
경상북도 고령소방서,74
경상북도 구미소방서,75
경상북도 김천소방서,76
경상북도 문경소방서,77
경상북도 상주소방서,78
경상북도 성주소방서,79
경상북도 안동소방서,80
경상북도 영덕소방서,81
경상북도 영주소방서,82
경상북도 영천소방서,83
경상북도 울진소방서,84
경상북도 의성소방서,85
경상북도 청도소방서,86
경상북도 칠곡소방서,87
경상북도 포항남부소방서,88
경상북도 포항북부소방서,89
광주광역시 광산소방서,90
광주광역시 남부소방서,91
광주광역시 동부소방서,92
광주광역시 북부소방서,93
광주광역시 서부소방서,94
대구광역시 강서소방서,95
대구광역시 달서소방서,96
대구광역시 달성소방서,97
대구광역시 동부소방서,98
대구광역시 북부소방서,99
대구광역시 서부소방서,100
대구광역시 수성소방서,101
대구광역시 중부소방서,102
대전광역시 남부소방서,103
대전광역시 동부소방서,104
대전광역시 북부소방서,105
대전광역시 서부소방서,106
대전광역시 중부소방서,107
부산광역시 강서소방서,108
부산광역시 금정소방서,109
부산광역시 기장소방서,110
부산광역시 남부소방서,111
부산광역시 동래소방서,112
부산광역시 부산진소방서,113
부산광역시 북부소방서,114
부산광역시 사하소방서,115
부산광역시 중부소방서,116
부산광역시 항만소방서,117
부산광역시 해운대소방서,118
서울특별시 강남소방서,119
서울특별시 강동소방서,120
서울특별시 강북소방서,121
서울특별시 강서소방서,122
서울특별시 관악소방서,123
서울특별시 광진소방서,124
서울특별시 구로소방서,125
서울특별시 노원소방서,126
서울특별시 도봉소방서,127
서울특별시 동대문소방서,128
서울특별시 동작소방서,129
서울특별시 마포소방서,130
서울특별시 서대문소방서,131
서울특별시 서초소방서,132
서울특별시 성동소방서,133
서울특별시 성북소방서,134
서울특별시 송파소방서,135
서울특별시 양천소방서,136
서울특별시 영등포소방서,137
서울특별시 용산소방서,138
서울특별시 은평소방서,139
서울특별시 종로소방서,140
서울특별시 중랑소방서,141
서울특별시 중부소방서,142
세종특별자치시 세종소방서,143
세종특별자치시 조치원소방서,144
울산광역시 남부소방서,145
울산광역시 동부소방서,146
울산광역시 온산소방서,147
울산광역시 중부소방서,148
인천광역시 강화소방서,149
인천광역시 계양소방서,150
인천광역시 공단소방서,151
인천광역시 공항소방서,152
인천광역시 남동소방서,153
인천광역시 남부소방서,154
인천광역시 부평소방서,155
인천광역시 서부소방서,156
인천광역시 송도소방서,157
인천광역시 중부소방서,158
전라남도 강진소방서,159
전라남도 고흥소방서,160
전라남도 광양소방서,161
전라남도 나주소방서,162
전라남도 담양소방서,163
전라남도 목포소방서,164
전라남도 무안소방서,165
전라남도 보성소방서,166
전라남도 순천소방서,167
전라남도 여수소방서,168
전라남도 영광소방서,169
전라남도 영암소방서,170
전라남도 해남소방서,171
전라남도 화순소방서,172
전라북도 고창소방서,173
전라북도 군산소방서,174
전라북도 김제소방서,175
전라북도 남원소방서,176
전라북도 무진장소방서,177
전라북도 부안소방서,178
전라북도 익산소방서,179
전라북도 전주덕진소방서,180
전라북도 전주완산소방서,181
전라북도 정읍소방서,182
제주특별자치도 동부소방서,183
제주특별자치도 서귀포소방서,184
제주특별자치도 서부소방서,185
제주특별자치도 제주소방서,186
충청남도 계룡소방서,187
충청남도 공주소방서,188
충청남도 금산소방서,189
충청남도 논산소방서,190
충청남도 당진소방서,191
충청남도 보령소방서,192
충청남도 부여소방서,193
충청남도 서산소방서,194
충청남도 서천소방서,195
충청남도 세종소방서,196
충청남도 아산소방서,197
충청남도 예산소방서,198
충청남도 조치원소방서,199
충청남도 천안동남소방서,200
충청남도 천안서북소방서,201
충청남도 청양소방서,202
충청남도 태안소방서,203
충청남도 홍성소방서,204
충청북도 괴산소방서,205
충청북도 단양소방서,206
충청북도 보은소방서,207
충청북도 서부소방서,208
충청북도 영동소방서,209
충청북도 옥천소방서,210
충청북도 음성소방서,211
충청북도 제천소방서,212
충청북도 조치원소방서,213
충청북도 증평소방서,214
충청북도 진천소방서,215
충청북도 청주동부소방서,216
충청북도 충주소방서,217
